STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
25,011,041501,3634,+42.517449,-072.750578
25,011,041502,3795,+42.600260,-072.734009
25,013,800101,4052,+42.149839,-072.504863
25,013,800102,4119,+42.157268,-072.499864
25,013,800201,6334,+42.140637,-072.563588
25,013,800202,1333,+42.150368,-072.533483
25,013,800300,4395,+42.130780,-072.575660
25,013,800400,6726,+42.126487,-072.586611
25,013,800500,3366,+42.121815,-072.597622
25,013,800600,2620,+42.117596,-072.606098
25,013,800700,4000,+42.115845,-072.614590
25,013,800800,2098,+42.112988,-072.600292
25,013,800900,4136,+42.114758,-072.590657
25,013,801101,1862,+42.103994,-072.588682
25,013,801102,1537,+42.099230,-072.583644
25,013,801200,2638,+42.109374,-072.583680
25,013,801300,4636,+42.115453,-072.569820
25,013,801401,3992,+42.118477,-072.559179
25,013,801402,2016,+42.127119,-072.543196
25,013,801501,5361,+42.124267,-072.530309
25,013,801502,3412,+42.134167,-072.527908
25,013,801503,4036,+42.138683,-072.503788
25,013,801601,5067,+42.110937,-072.519437
25,013,801602,5108,+42.123943,-072.508834
25,013,801603,4185,+42.126876,-072.487589
25,013,801604,3767,+42.102215,-072.486398
25,013,801605,4608,+42.092088,-072.505659
25,013,801700,7577,+42.108897,-072.554025
25,013,801800,4279,+42.105029,-072.566050
25,013,801901,3938,+42.094576,-072.571202
25,013,801902,3614,+42.102399,-072.576966
25,013,802000,2849,+42.095145,-072.578912
25,013,802100,6075,+42.083446,-072.567155
25,013,802200,3308,+42.090250,-072.565706
25,013,802300,6838,+42.091395,-072.556320
25,013,802400,3544,+42.098899,-072.540140
25,013,802500,6694,+42.090721,-072.530541
25,013,802601,7038,+42.082680,-072.548354
25,013,802602,1902,+42.073035,-072.543452
25,013,810100,6290,+42.168968,-072.312925
25,013,810200,2710,+42.197506,-072.334096
25,013,810300,3140,+42.177494,-072.363827
25,013,810403,3931,+42.160471,-072.479874
25,013,810404,3761,+42.163577,-072.456310
25,013,810412,5933,+42.175342,-072.489468
25,013,810414,7478,+42.190936,-072.459091
25,013,810601,4267,+42.170547,-072.577448
25,013,810602,2657,+42.174685,-072.530619
25,013,810700,6151,+42.152457,-072.573042
